在剧情中出现,物品ID,物品名称,物品说明,物品属性说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,,
Y,3107,帝女翡翠,当年云天青赠送给柳梦璃的奇石，能够掩盖身上的妖气，即便道法精深的修仙之人，亦无法察觉。,,Princess Jadeite,,,Princess Jadeite,,"A strange stone gifted by Yun Tianqing to Liu Mengli long ago, capable of masking demonic aura; even deeply cultivated immortals cannot detect it.","Enemy Single, Wind Damage"
Y,3109,梭罗果,三寒器之一，为梭罗树的果实。传说梭罗树一生只结一颗果实，状如宝珠，乃至阴至寒之物。,,Suoluo Fruit,,,Suoluo Fruit,,"One of the Three Cold Artifacts, the fruit of the Suoluo Tree. Legend says the Suoluo Tree bears only one fruit in its lifetime, shaped like a precious pearl, an object of utmost yin and cold.","Enemy Single, reduces MP"
Y,3110,鲲鳞,三寒器之一，为传说中的大鱼“鲲”的鳞片。,,Kun Scale,,,Kun Scale,,"One of the Three Cold Artifacts, a scale from the legendary giant fish 'Kun'.","Enemy All, reduces MP"
Y,3111,光纪寒图,三寒器之一，此物为冬神所持，传说可以召唤雨雪风霜，具有无上灵力。,,Guangji Cold Map,,,Guangji Cold Map,,"One of the Three Cold Artifacts, held by the Winter God; legend says it can Summon rain, snow, wind, and frost, possessing supreme spiritual power.","Enemy Single, Earth damage"
Y,3112,天河剑,慕容紫英为云天河打造的宝剑，以仙家秘法萃取灵力，并以稀世矿石加以锻造，挥动起来冰冷凌厉，绝非凡品。,,Tianhe Sword,,,Tianhe Sword,,"A sword forged by Murong Ziying for Yun Tianhe. Immortal secrets extract spiritual power, and rare Ore is used for Forging. Swings with icy sharpness, truly extraordinary.",Essential item for blending secret incense
Y,3113,红魄,罕见的红色玉石，可令体质寒性的人手足皆暖。,,Red Soul,,,Red Soul Jade,,A rare red jade that can warm the hands and feet of those with cold constitutions.,Essential item for blending secret incense
Y,3114,翳影枝,仅仅生长在鬼界的一种奇树，取其枝条佩戴在身上，便可穿越天下大多数结界，畅通无阻。,,Shadow-Branch,,,Shadowveil Sprig,,"A strange tree that grows only in the Ghost Realm. Carrying its branch Equip on one's body allows passage through most barriers in the world, unimpeded.",Essential item for blending secret incense
Y,3115,后羿射日弓,此弓曾为后羿所持，射落了天上太阳，可以想见其威力之强。,,Houyi Sun Bow,,,Houyi Sun Bow,,"This bow was once held by Houyi, who shot down the suns; its power can be imagined.",Essential item for blending secret incense
Y,3116,水灵珠,蕴含着无穷法力的水系灵珠。,,Water Spirit Pearl,,,Water Spirit Pearl,,A water spirit pearl containing boundless magical power.,Essential item for blending secret incense
Y,3117,炙炎石,孕育于炎帝神农洞熔岩之中的奇石，炽热无比。,,Fire Stone,,,Flamestone,,"A strange stone nurtured in the Emperor Yan Shennong Cave lava, extremely hot.",Essential item for blending secret incense
,3121,燧石,能够通过相互撞击而产生火星的矿石，是常见的生火工具之一。,,Flint,,,Flint,,"Ore that can generate sparks by striking against each other, one of the common fire-starting tools.",Essential item for blending secret incense
Y,3126,九眼石,有着铜钱纹路的石头，散发着金色的光芒。,,Nine-Eyed Stone,,,Nine‑Eye Stone,,"A stone with coin-like patterns, emanating a golden glow.",
,3127,黄铜矿,黄色的铜矿，到处都可以开采到。,熔铸、锻冶的材料,Chalcopyrite,,,Copper Ore,,"Yellow copper ore, can be mined everywhere.",
,3128,辉铜矿,含有大量的铜，是提炼铜的重要矿石。,熔铸、锻冶的材料,Bornite Ore,,,Bornite,,"Contains a large amount of copper, an important Ore for refining copper.",
,3129,斑铜矿,棕色矿石，表面有蓝色、紫色和红色的斑纹，因而又称“孔雀石”。,熔铸、锻冶的材料,Copper Ore,,,Peacock Ore,,"Brown Ore, surface has blue, purple, and red patterns, thus also called 'peacock stone'.",
,3130,青琅玕,绿色花纹石，用来提炼铜，象征福善与吉祥。,熔铸、锻冶的材料,Green Langgan,,,Green Langgan,,"A green patterned stone used to refine copper, symbolizes fortune, virtue, and Auspicious.",
,3131,赤铁石,赤色的石头，常用来提炼生铁，是打造利器的主要矿石。,熔铸、锻冶的材料,Red Iron Ore,,,Red Iron,,"A red stone often used to refine pig iron, a primary Ore for forging sharp weapons.",
,3132,玄武铁岩,异常坚硬的黑色矿石，用来提炼玄铁，是打造上好兵器所需的材料。,熔铸、锻冶的材料,Tortoise Iron Rock,,,Dark Iron Ore,,"Exceptionally hard black Ore, used to refine dark iron, required for forging superior weapons Material.",
,3133,昆仑紫鸦乌,昆仑山地脉孕育的矿石精华，可令装备坚固耐久。,熔铸、锻冶的材料,Kunlun Purple Crow,,,Kunlun Crow Ore,,"The Ore essence nurtured by the Kunlun mountain veins, can make Equipment sturdy and durable.",
,3134,昆吾砂,天下第一坚硬的金刚碎砂，用它打造的兵器，可以轻松击破任何护甲。,熔铸、锻冶的材料,Kunwu Sand,,,Kunwu Sand,,The world's hardest diamond-crushing sand; weapons forged with it can easily pierce any armor.,
,3135,耀金石,金光闪闪的石头，富含大量的黄金。,熔铸、锻冶的材料,Shining Gold Stone,,,Gold Ore,,"A glittering golden stone, rich in a large amount of gold.",
,3136,自然金,色泽明亮，具有极强的韧性，能够提炼黄金，价格昂贵。,熔铸、锻冶的材料,Natural Gold,,,Natural Gold,,"Bright-colored, extremely tough, capable of refining gold, Price expensive.",
,3137,金红石,颜色交杂的矿石，能够提炼出特殊的物质，是铸造兵器的上佳之选。,熔铸、锻冶的材料,Rutile,,,Rutile,,"Variegated Ore, can extract special substances, excellent choice for weapon forging.",
,3138,紫金土,闪烁着紫金色的砂土，能够提炼出珍稀的紫金。,熔铸、锻冶的材料,Purple Gold Soil,,,Purple Gold Dust,,"Purple-gold sand that glitters, from which rare purple gold can be refined.",
,3139,蛇纹石,表面有蛇形纹路的石头，形状凹凸，隐含着某种力量。,熔铸、锻冶的材料,Serpentine Stone,,,Serpent Stone,,"A stone with snake-like surface patterns, uneven shape, hinting at hidden power.",
,3140,天河石,如翡翠一般碧绿光润的石头，用它打造之物拥有疾风迅雷之势。,熔铸、锻冶的材料,Amazonite,,,Amazonite,,A stone green and glossy like jadeite; items crafted from it possess Swift Wind swift thunder momentum.,
,3141,天青石,浅蓝色的晶石，散发着淡淡的光芒，据说能给人带来好运。,熔铸、锻冶的材料,Celestite,,,Celestite,,"A light blue crystal emitting a faint glow, said to bring good luck.",
Y,3142,紫晶,发出紫色光芒的水晶，常被用来打造饰品，能使人精神舒爽。,熔铸、锻冶的材料,Amethyst,,,Amethyst,,"A crystal emitting purple light, often used to craft Accessory, can soothe the spirit.",
,3143,蟠龙玛瑙,能够祛邪、生气，是玛瑙中的珍品。,熔铸、锻冶的材料,Coiled Dragon Agate,,,CoilDragonAgate,,"Capable of dispelling evil and generating vitality, it is a treasure among agates.",
,3144,虹光琥珀,发出七色虹光的琥珀，据说拥有七种不同的灵力，是不可多得的人间至宝。,熔铸、锻冶的材料,Rainbow Light Amber,,,Rainbow Amber,,"Amber emitting rainbow light of seven colors; said to possess seven different spiritual powers, a rare mortal treasure.",Material for smelting/forging
,3145,羊脂白玉,其色白如凝脂，质地极纯极润，吸收了神秘高原上的大地精华而成。,熔铸、锻冶的材料,MuttonWhite Jade,,,White Jade,,"White as congealed fat, extremely pure and moist texture, formed by absorbing the essence of the mysterious plateau's earth.",Material for smelting/forging
,3146,琅环碧玉,碧绿的玉石，表面光滑如镜，触之有冰凉透心的感觉。,熔铸、锻冶的材料,LanghuanGreen Jade,,,Green Jade,,"Green jade with a mirror-smooth surface, cool to the touch, chilling to the heart.",Material for smelting/forging
,3147,绯云火石,天界炼丹炉中掉落的石头，内部封印着三昧真火，表面摸起来温暖而不会被灼伤。,熔铸、锻冶的材料,Scarlet Firestone,,,Scarlet Firestone,,"A stone fallen from a celestial alchemy furnace, sealed within is Samadhi True Fire. Its surface feels warm to the touch but never burns.",Material for smelting/forging
,3148,云母,富有棱角的矿石，具有琉璃般的光泽，隐约可见里面菱形的晶柱。,熔铸、锻冶的材料,Mica,,,Mica,,"An ore with rich edges and corners, possessing a glass-like luster, with faintly visible rhombic crystal columns inside.",Material for smelting/forging
,3149,奇异石,粉红色的矿石，相当罕见，用它打造的兵器极为坚硬。,熔铸、锻冶的材料,Strange Stone,,,Strange Ore,,"Pink Ore, quite rare; weapons forged from it are extremely hard.",Material for smelting/forging
,3150,冰晶石,透明的水晶石，散发出冷冷的光芒。,熔铸、锻冶的材料,Ice Crystal,,,Ice Crystal,,"A transparent crystal stone, emitting a cold, gleaming light.",Material for smelting/forging
,3151,烈火岩,其色深红，经过大火的灼烧而成，能使打造出来的兵器灼热逼人。,熔铸、锻冶的材料,Flame Rock,,,Flame Rock,,"Its color is deep red, formed through intense burning, making forged weapons scorchingly hot.",Material for smelting/forging
,3152,岩铁地魄,深黄色的石头，表面粗糙，虽然看起来毫不起眼，却是吸取大地精华而成。,熔铸、锻冶的材料,Rock Iron Earth Soul,,,Earth Soul Ore,,"A deep yellow stone with a rough surface. Though unremarkable in appearance, it is formed by absorbing the essence of the earth.",Material for smelting/forging
,3153,雷魄晶,蓝紫色的晶石，蕴含着雷灵之力，偶尔能看见里面划过一道闪电般的光芒。,熔铸、锻冶的材料,Thunder Soul Crystal,,,Thunder Crystal,,"A blue-purple crystal containing the power of thunder spirit. Occasionally, a flash of lightning can be seen inside.",Material for smelting/forging
,3154,霜露晶,霜之气、露之神化成的晶石，清纯透明，周围有薄薄的气流环绕。,熔铸、锻冶的材料,Frost Dew Crystal,,,Frostdew Crystal,,"Crystal formed from frost's breath and dew's spirit, pure and transparent, surrounded by thin swirling air currents.",Material for smelting/forging
Y,3155,月长石,光滑圆润，因长久吸取月光的力量而富有灵力，散发着冰魄的寒光。,熔铸、锻冶的材料,Moonstone,,,Moonstone,,"Smooth and round, rich in spiritual power from long-term absorption of moonlight, emits icy cold light.",Material for smelting/forging
,3156,火纹玉,其色红如火，表面有一条条暗红的花纹，摸上去有炽热的灼烧感。,熔铸、锻冶的材料,Fire Pattern Jade,,,Fire Jade,,"Its color is red as fire, with dark red patterns on the surface, feeling burningly hot to the touch.",Material for smelting/forging
Y,3157,寒月冰魄,犹如冰晶凝成的石头，散发出凛冽彻骨的气息，令人不敢触摸。,熔铸、锻冶的材料,Cold Moon Ice Soul,,,Frost Soul,,"A stone as if condensed from ice crystals, radiating a piercing, bone-chilling aura that makes one dare not touch it.",Material for smelting/forging
,3158,黑曜石,坚硬刚烈，可以贯通灵脉，避邪除秽气，是非常稀有的宝石。,熔铸、锻冶的材料,Obsidian,,,Obsidian,,"Hard and intense, can penetrate Channeling meridians, ward off evil and dispel foul qi, a very rare gem.",Material for smelting/forging
,3159,虎睛石,淡黄色的石头，有着老虎眼睛一般的花纹，射出捉摸不定光芒。,熔铸、锻冶的材料,Tiger's Eye Stone,,,Tigereye,,"A pale yellow stone with patterns resembling tiger's eyes, emitting an elusive, shimmering light.",Material for smelting/forging
,3160,云晶石,纯净透明的晶石，似有云纹覆于表面，凝聚着一层氤氲的雾气。,熔铸、锻冶的材料,Cloud Crystal,,,Cloud Crystal,,"A pure, transparent crystal stone with cloud-like patterns on its surface, gathering a layer of misty vapor.",Material for smelting/forging
,3161,浩英石,一粒粒明亮闪烁的颗粒结合而成，光芒耀眼。,熔铸、锻冶的材料,Haoying Stone,,,Haoying Stone,,"Formed from bright, sparkling particles, dazzlingly radiant.",Material for smelting/forging
,3162,黝碧石,青莲色的石头，碧光幽幽，其中似有鬼火晃动，透出丝丝阴气。,熔铸、锻冶的材料,Dark Green Stone,,,Dark Jade,,"A lotus-blue stone with a faint greenish glow, inside which ghostly flames seem to flicker, emitting wisps of sinister aura.",Material for smelting/forging
,3163,尖晶石,弯月形的宝石，通体乌黑透亮，散发着无穷的寒气，是打造武器的绝佳之物。,熔铸、锻冶的材料,Spinel,,,Spinel,,"A crescent-shaped gem, pitch black and translucent, emitting boundless cold air. An excellent material for forging Weapon.",Material for smelting/forging
,3164,银星晶魄,银色的晶石，如同天上星星般灿烂夺目，在夜晚光芒可以照射到十丈之外。,熔铸、锻冶的材料,Silver Star Soul,,,Silver Soul,,"A silver crystal, as brilliant as stars in the sky, its light can shine over a hundred feet at night.",Material for smelting/forging
,3165,日辉晶魄,白色晶亮的宝石，光滑如玉，发出比日光还要耀眼的光芒。,熔铸、锻冶的材料,Sun Crystal Soul,,,Sun Soul,,"A white, crystal-bright gem, smooth as jade, emitting a light more dazzling than sunlight.",Material for smelting/forging
,3166,幽冥魂晶,碧绿的晶石，内部暗影浮动，蕴含的鬼力能够摄人心魄。,熔铸、锻冶的材料,Nether Soul Crystal,,,Nether Crystal,,A green crystal with shifting shadows inside; the ghostly power within can captivate the soul.,Material for smelting/forging
Y,3167,九转圣光石,散发着圣洁光芒的石头，是上好的铸剑之材。,,Nine Revo Holy Stone,,,Saintlight Stone,,"A stone emitting a holy glow, excellent material for sword forging.",Material for smelting/forging
,3168,软星,一颗金色的星星，不知道从何处掉落，拥有神秘的力量。,熔铸、锻冶的材料,Softstar,,,Softstar,,"A golden star that fell from somewhere unknown, possessing mysterious power.",Material for smelting/forging
Y,3169,木炭,能够提升宝剑的韧性，是锻造必备的材料之一。,熔铸、锻冶的材料,Charcoal,,,Charcoal,,"Can enhance a sword's toughness, one of the essential Material for Forging.",Material for smelting/forging
,3170,凤首木,高一尺，据说带有鸾凤之形，颇似枯槁。,熔铸、锻冶的材料,Phoenix Head Wood,,,Phoenix Wood,,"One foot tall, said to resemble a phoenix, looks rather withered.",Material for smelting/forging
,3171,枫木,枫树木，红棕色，有着漂亮的花纹。,熔铸、锻冶的材料,Maple Wood,,,Maple Wood,,"Maple wood, reddish-brown, with beautiful grain.",Material for smelting/forging
,3172,丝线,一般的丝线，常用来缝制衣物。,熔铸、锻冶的材料,Silk Thread,,,Silk Thread,,"Ordinary Silk Thread, commonly used for sewing clothes.",Material for smelting/forging
Y,3173,蚕丝,蚕茧中抽出的丝线，尚未经过加工，比较粗糙。,熔铸、锻冶的材料,Silk,,,Silk,,"Silk Thread extracted from a silkworm cocoon, still unprocessed and relatively coarse.",Material for smelting/forging
Y,3174,兽皮,动物的皮毛，摸上去柔软光滑，有弹性。,熔铸、锻冶的材料,Beast Hide,,,Beast Hide,,"Animal fur, soft, smooth, and elastic to the touch.",Material for smelting/forging
,3175,朱蛤涎,青绿色的剧毒液体，接触后若不及时医治会有性命之忧。,注灵的材料,Toad Spittle,,,Toad Spit,,"A bluish-green, highly toxic liquid. Contact without prompt treatment can be fatal.",Material for smelting/forging
,3177,赤脊骨,赤红色的脊骨，坚硬无比，极其难得之物。,注灵的材料,Red Spine Bone,,,Red Spine,,"A crimson spine bone, incredibly hard and an extremely rare item.",Material for smelting/forging
Y,3178,灵骨突,突起的脊骨，蕴涵巨大的力量。,注灵的材料,Spirit Bone Spike,,,Spirit Spur,,Protruding spine bone containing immense power.,Material for smelting/forging
,3179,滴血翅,带有血滴的透明薄翅，让人看着不寒而栗。,注灵的材料,Blood Drop Wings,,,Bloody Wing,,"Transparent thin wing with blood droplets, chilling to behold.",Material for smelting/forging
,3180,七彩仙羽,色彩斑斓的翅膀，美轮美幻，拥有神奇的力量。,注灵的材料,SevenColorFeather,,,Rainbow Plume,,"Colorful wings, exquisitely beautiful, possessing magical power.",Material for smelting/forging
,3181,晨甘露,清晨的露水，因附着在具有灵力的植物上而吸收了灵气，能够让人延年益寿。,注灵的材料,Morning Dew,,,Morning Dew,,"Morning dew, having absorbed spiritual energy by clinging to plants with spiritual power, can prolong life.",Material for smelting/forging
Y,3182,元祖星空,神秘的雪饼，晶莹可爱，口感香软，吃过以后会产生不可思议的效果。,在迷宫中随时存档,Primordial Starry Sky,,,PrimeStarrySky,,"A mysterious snow cake, crystal-cute, soft and fragrant; eating it produces incredible effects.",Material for smelting/forging
,3183,紫影瞳,深幽的紫色眼球，仿佛要将人吸入一般，让人着魔，不能自已。,注灵的材料,Purple Shadow Eye,,,Purple Eye,,"A deep purple eyeball that seems to draw people in, enchanting and mesmerizing, making one lose self-control.",Material for smelting/forging
,3184,妖猫邪眼,幽绿的邪恶之眼，激发起人心深处不可估量的狂暴之力。,注灵的材料,Evil Cat's Eye,,,Demon Eye,,A sinister green evil eye that unleashes immense MAD from deep within.,Material for smelting/forging
,3185,万棘针,密密麻麻布满尖针的虫壳，根根一针见血，锋利无比。,注灵的材料,ThousandThornNeedle,,,Thorn Shell,,"An insect shell densely covered with sharp needles, each piercing and extremely sharp.",
,3186,噬金牙,坚硬利齿，可以轻松咬断金条。,注灵的材料,Gold-Biting Fang,,,Gold Fang,,Hard sharp teeth that can easily bite through gold bars.,Material for smelting/forging
,3187,尖锐臼齿,豺狼虎豹的利齿，能够将任何盔甲咬得粉碎。,注灵的材料,Sharp Molar,,,Sharp Molar,,"The sharp teeth of wolves and tigers, capable of shattering any armor.",Material for smelting/forging
,3188,断魂散魄牙,能令人魂飞魄散的尖齿，闪烁着妖异的光芒。,注灵的材料,Soul-Severing Fang,,,Soul Fang,,"Fangs that can scatter souls, shimmering with a sinister glow.",Material for smelting/forging
,3189,暗目珠,深色幽暗的眼珠，望之令人无法压制内心的狂性。,注灵的材料,Dark Eye Orb,,,Dark Eye,,"Dark, gloomy eyes that stir uncontrollable frenzy in those who gaze upon them.",Material for smelting/forging
,3190,珍珠蚌壳,色泽艳丽的蚌壳，里面有着大粒珍珠，散发出荧荧光彩。,注灵的材料,Pearl Oyster Shell,,,Pearl Shell,,"A brightly colored clam shell containing large pearls that emit a faint, glowing light.",Material for smelting/forging
,3191,利刃爪,异常锋利的爪，可以轻易划破坚硬的铁甲。,注灵的材料,Sharp Claw,,,Sharp Claw,,"Extremely sharp claw, can easily slice through hard iron armor.",Material for smelting/forging
,3192,狂暴利爪,如金刚般坚硬锐利的兽爪，附有强大的力量，能一下破开山石。,注灵的材料,Berserk Claw,,,Berserk Claw,,"Beast claws hard and sharp as diamond, attached with great power, can split mountain rocks in one strike.",Material for smelting/forging
,3193,软鳞蜕,有着坚硬鳞片却又很柔软的蜕，刚柔并济。,注灵的材料,Soft Scale Shed,,,Soft Scale,,"A molt that is both hard-scaled yet soft, combining strength and flexibility.",Material for Infusion
,3195,鳞光甲,巨蟒身上的皮，厚实坚韧，带有金光闪闪的鳞片。,注灵的材料,Scale Light Armor,,,Scale Armor,,"Skin from a giant serpent, thick and tough with shimmering golden scales.",Material for Infusion
,3196,娥女香,泪滴凝结而成的水晶，发出淡淡的女人香气，据说得到它的人能够永葆青春。,注灵的材料,E'nu Fragrance,,,E'nu Scent,,"A crystal formed from condensed teardrops, emitting a faint feminine fragrance. It is said those who obtain it can retain eternal youth.",Material for Infusion
,3197,百花醉仙露,天上百花所酿的香露，闻之熏然欲醉，令人沉入无尽的梦境。,注灵的材料,HundredFlowersDew,,,Blossom Dew,,"Nectar brewed from heavenly flowers, smelling intoxicating, causing one to sink into endless dreams.",Material for Infusion
,3198,冰晶醉花蕊,散发着淳厚香气的水晶花蕊，令人飘飘欲仙，进入幻境之中。,注灵的材料,Ice Crystal Stamen,,,Frost Stamen,,"A crystal flower stamen exuding a rich aroma, making one feel ethereal, entering an illusion.",Material for Infusion
,3199,冰魂晶,晶莹剔透的小冰晶，散发出阵阵寒气，让人不寒而栗。,注灵的材料,Ice Soul Crystal,,,Ice Soul,,"Transparent small ice crystals emitting chilling cold, making one shiver.",Material for Infusion
,3200,异精筋,柔软且坚韧异常的筋，是制作良弓的极品材料，可遇而不可求。,注灵的材料,Alien Tendon,,,Strange Sinew,,"An exceptionally soft and tough sinew, a supreme Material for crafting fine bows, a rare find that cannot be sought but only encountered.",Material for Infusion
,3202,雪云毛,纯白似雪的狐毛，传说获得此物的人能够得到野兽般强大的力量。,注灵的材料,Snow Cloud Fur,,,Snow Fur,,"Pure white fox fur, snow-like. Legend says those who obtain it gain beast-like powerful strength.",Material for Infusion
,3203,五色茸,一段长有密集茸毛的犄角，散发出五种色彩的光芒。,注灵的材料,Five-Colored Fungus,,,Five‑Color Fur,,"A horn segment densely covered with fine hair, emitting a five-colored glow.",Material for Infusion
,3204,索魂绫,鬼魂用来索取人类性命的丝绫，有着很重的鬼气。,注灵的材料,Soul-Snaring Ribbon,,,Soul Ribbon,,"A silk ribbon used by ghosts to claim human lives, heavy with ghostly aura.",Material for Infusion
,3205,摄魂花,鬼界奇花，能够摄人心魄，令人走火入魔。,注灵的材料,Soul-SnatchingFlower,,,SoulSnatchFlower,,A strange flower from the Ghost Realm that can captivate hearts and drive people to Qi Deviation.,Material for Infusion
,3206,鬼骨火,僵尸身上掉下的骨头，阴气很重。,注灵的材料,Ghost Bone Fire,,,Ghost Bone,,"Bone dropped from a zombie, heavy with yin energy.",Material for Infusion
,3207,绿玉骨,如玉石一般细腻光滑的骨头，十分沉重，虽然是死物，但仍具有强大的力量。,注灵的材料,Green Jade Bone,,,Green Jade Bone,,"Bone as smooth and delicate as jade, very heavy. Though inanimate, it still possesses great power.",Material for Infusion
,3208,法螺,蕴含法力的佛门宝器，能够令鬼魂烟消云散。,注灵的材料,Conch,,,Dharma Conch,,"A Buddhist treasure imbued with magical power, capable of making ghosts vanish into smoke.",Material for Infusion
,3209,紫金佛钵,通体发出紫金之芒，能够使妖魔顿现原形，无力抵抗。,注灵的材料,Gold Buddha Bowl,,,Gold Bowl,,"Emits purple-gold light throughout, causing demons to reveal true forms and lose resistance.",Material for Infusion
,3210,碎如意,玉如意的碎片，散发着淡淡的神秘光芒。,注灵的材料,Shattered Ruyi,,,Shattered Ruyi,,"Fragment of a jade ruyi, emits a faint mysterious glow.",Material for Infusion
,3211,福寿果,仙界用来进贡的果实，有益于仙人的修炼，普通人吃到可以在一年中获得好运。,注灵的材料,Longevity Fruit,,,Longevity Fruit,,"A fruit used by the immortal realm as tribute, beneficial for immortal cultivation. Ordinary people who eat it can gain good luck for a year.",Material for Infusion
,3212,琼浆玉露,仙界上好的美酒，芬芳馥郁，让仙人都难以舍杯。,注灵的材料,Fine Nectar,,,Fine Nectar,,"Superior celestial wine, fragrant and rich, making even immortals reluctant to put down the cup.",Material for Infusion
,3213,青霜紫晶穗,散发着青紫色光芒的剑穗，能够增强灵力。,注灵的材料,Frost Amethyst Tassel,,,Frost Tassel,,"Sword tassel glowing cyan-purple, enhances spiritual power.",Material for Infusion
,3214,金芒石,散发着金色光芒的石子，拿在手里感觉到沉甸甸的。,注灵的材料,Golden Ray Stone,,,Gold Shard,,"A stone emitting golden light, feels heavy in the hand.",Material for Infusion
,3215,暗血凝脂,凝结大量怨气的妖血，会给人带来连连厄运。,注灵的材料,Dark Blood Fat,,,Dark Blood,,"Demonic blood condensed with great resentment, brings continuous Misfortune to people.",Material for Infusion
,3216,花纹虎皮,十分珍贵的花纹虎皮，象征着至高无上的权力。,注灵的材料,Patterned Tiger Skin,,,Tiger Skin,,"An extremely precious Patterned Tiger Skin, symbolizing supreme authority.",Material for Infusion
,3217,狂兽皮,坚韧的兽皮，普通利刃无法将其割破。,注灵的材料,Beast Hide,,,Berserk Hide,,"Tough Beast Hide, ordinary sharp blades cannot cut it.",Material for Infusion
,3218,玄武甲片,非常沉重坚硬的龟甲，表面有怪异的纹路，能够抵挡锋利之物的刺击。,注灵的材料,Tortoise Armor Plate,,,Turtle Plate,,"An extremely heavy and hard turtle shell with strange patterns, capable of resisting sharp piercing attacks.",Material for Infusion
Y,3219,炼火珠,由极热的岩浆形成，能让修行之人不惧怕炙热的火焰。,注灵的材料,Fire Refining Pearl,,,Flame Pearl,,"Formed from extremely hot magma, it allows cultivators to fear not scorching flames.",Material for Infusion
,3220,火云鳞,带有火焰的鳞片，令人炙热难耐，附着着强大的灵力，是人间罕见之物。,注灵的材料,Fire Cloud Scale,,,Fire Scale,,"A fiery scale that causes unbearable heat, imbued with powerful spiritual energy, a rare treasure in the mortal realm.",Material for Infusion
,3221,蓝焰烈云带,天兵天将服饰上的带子，蕴含强大的神仙之力，能够使法力大大增强。,注灵的材料,BlueFlameCloud Belt,,,Blue Flame Sash,,"A sash from celestial attire, imbued with powerful divine energy, greatly enhancing magical power.",Material for Infusion
,3222,邪灵石,附着着鬼气的石块，拥有阴邪之力。,注灵的材料,Evil Spirit Stone,,,Sinister Stone,,"A stone attached with ghostly aura, possessing sinister power.",Material for Infusion
,3223,残牛角,入手异常沉重的牛角碎块，透出几丝仙气。,注灵的材料,Broken Ox Horn,,,Ox Horn,,"Unusually heavy ox horn fragment, exudes a hint of immortal aura.",Material for Infusion
,3224,尖韧角,锐利的尖角，富有韧性，同时带有强大的法力。,注灵的材料,Sharp Horn,,,Sharp Horn,,"A sharp, resilient horn imbued with powerful magic.",Material for Infusion
,3225,乌灵刃,一截用灵石打造的断刃，乌黑透亮，锋利无比，用来斩妖除魔易如反掌。,注灵的材料,Wuling Blade,,,Wuling Blade,,"A broken blade made from spirit stone, black and translucent, extremely sharp; cuts demons and monsters with ease.",Material for Infusion
,3226,六阳剑柄,凝聚着阳气的剑柄，散发出阵阵红光，能令妖魔无所遁形。,注灵的材料,Six Yang Sword Hilt,,,Yang Hilt,,"A hilt infused with yang energy, emitting a red glow that leaves demons and monsters with nowhere to hide.",Material for Infusion
,3227,青玉梭,一条青龙盘踞的玉梭，蕴含着无穷灵气。,注灵的材料,Green Jade Shuttle,,,Jade Shuttle,,"A jade shuttle with a coiled Azure Dragon, containing boundless spiritual energy.",Material for Infusion
,3228,赤蛇涎,鲜红如血的液体，传说其毒性猛于鹤顶红。,注灵的材料,Red Snake Slime,,,Red Snake Spit,,"A liquid as red as blood, said to be more toxic than crane's crown poison.",Material for Infusion
,3229,青蛇涎,青蛇毒涎，没有气味，但却剧毒无比。,注灵的材料,Green Snake Slime,,,Green Snake Spit,,"Green snake venom, odorless but extremely poisonous.",Material for Infusion
,3230,毒蛛涎,蜘蛛的毒涎，腐肌烂骨。,注灵的材料,Spider Venom,,,Spider Venom,,"Spider's venomous saliva, corrodes flesh and bone.",Material for Infusion
,3231,钩镰刺,带毒的蝎刺，见血封喉。,注灵的材料,Hook-Sickle Thorn,,,Sickle Barb,,"A poisonous scorpion sting, lethal upon drawing blood.",Material for Infusion
,3232,青幽液,黑色的剧毒液体，接触后若不及时医治会有性命之忧。,注灵的材料,Green Mystery Liquid,,,Virid Fluid,,"A black, highly toxic liquid. Contact without prompt treatment can be fatal.",Material for Infusion
,3233,吸血针,一支极其细长的针刺，因为长期被鲜血浸润而通体鲜红。,注灵的材料,Bloodsucking Needle,,,Blood Needle,,"An extremely slender needle, stained crimson red from long-term blood immersion.",Material for Infusion
,3234,招财聚宝珠,财神随身携带的宝珠，有招财聚宝之效。,注灵的材料,Fortune Treasure Orb,,,Fortune Pearl,,"Treasure orb carried by God of Wealth, has Fortune treasure-gathering effect.",Material for Infusion
,3235,九狐尾绒,狐仙尾部的毛皮，具有强大的灵力，十分珍贵。,注灵的材料,Nine Fox Tail Velvet,,,Nine Tail Fur,,"Fur from a fox immortal's tail, possesses powerful spiritual energy, very precious.",Material for Infusion
,3236,烛龙之鳞,上古巨龙的鳞片，蕴涵极强的灵力。,注灵的材料,CandleDragon Scale,,,CandleDragon Scale,,"Scale of an ancient giant dragon, contains extremely strong spiritual power.",Material for Infusion
,3237,神木影羽,句芒掉落的羽毛，蕴涵春神的灵力。,注灵的材料,Divine Wood Feather,,,DivineWoodFeather,,"Feather dropped by Ju Mang, contains spring god's spiritual power.",Material for Infusion
,3238,幽梦棱晶,带有梦幻般色彩的奇异晶石。,注灵的材料,Dream Prism,,,Dream Prism,,A strange crystal stone with a dreamlike color.,Material for Infusion
,3239,夜魅灵石,在黑暗中发出柔和的光芒，石中潜藏的灵力十分特殊。,注灵的材料,Night Spirit Stone,,,Nightstone,,Emits a soft glow in darkness; the spiritual power hidden within the stone is quite unique.,Material for Infusion
