物品ID,物品类型,物品名称,物品说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,
3617,4,蝶舞百褶裙,此裙生香，穿上便可引来千里之外的蝴蝶绕裙飞舞，故此得名。（梦璃）,Butterfly Pleated Skirt,,,Butterfly Skirt,,"This skirt emits fragrance; wearing it attracts butterflies from miles away to dance around it, hence its name. (Mengli)"
3618,4,霁月锦绣服,华丽的锦缎缝制而成的长裙，虽然看起来很薄，实则柔韧有加，放置百年而不化。（菱纱）,Clear Moon Brocade Robe,,,Clear Moon Robe,,"A long skirt sewn from luxurious brocade. Though it appears thin, it is actually very supple and resilient, remaining unchanged for a hundred years. (Lingsha)"
3619,4,广袖流仙裙,上古宫廷中的至宝，式样华丽无比，望之心醉，如今在民间已成传说。（女用）,Wide Sleeve Fairy Skirt,EtherealDress,,EtherealDress,,"A treasure from ancient courts, incredibly gorgeous in style, captivating to behold. Now a legend among the common folk. (Female)"
3620,4,流萦醉花衣,衣料经过了七七四十九天的熏香过程，因此富含奇香，经久不散。（菱纱）,Flowing Drunken Flower Gown,BlossomRobe,,BlossomRobe,,"The fabric underwent a 49-day incense fumigation process, thus rich in exotic fragrance, long-lasting and pervasive. (Ling Sha)"
3621,4,天蚕月瞑衣,穿上之后冬暖夏凉，水火不侵，且在月光下便会悠然生香。（梦璃）,Heaven Silkworm Moon Veil,,,Moon Veil,,"Wearing it keeps warm in winter and cool in summer, impervious to water and fire, and emits faint fragrance under moonlight. (For Mengli)"
3622,5,软麻鞋,十分轻便，适宜日常穿着。（男用）,Soft Hemp Shoes,,,Hemp Shoes,,"Very lightweight, suitable for daily wear. (Male use)"
3623,5,长靴,粗布缝制的软底长靴。结实耐穿，是很常见的靴子。（男用）　　　　　　　　　,Long Boots,,,Boots,,Soft-soled Long Boots sewn from coarse cloth. Durable and common boots. (For men)
3624,5,远游屐,鞋底装有倒齿，登山不累，雨天不滑。（男用）,Traveler's Clogs,,,Travel Clogs,,"Soles fitted with reverse teeth; tireless for climbing, non-slip in rain. (For men)"
3625,5,翔鹰踏,鞋底有如鹰爪，穿上此鞋，即使攀登悬崖也会如履平地。（男用）,Soaring Eagle Stomp,,,Eagle Stomp,,"Sole like eagle claws. Wearing these shoes, even climbing cliffs feels like walking on flat ground. (For males)"
3626,5,卷云鞋,上等棉布制成的鞋面，有蜡染卷云纹，十分舒适别致。（男用）,Cloud Treading Shoes,,,Cloud Shoes,,"Upper made of fine cotton, with wax-dyed cloud patterns, very comfortable and unique. (For men)"
3627,5,真武战靴,靴子的外表面包着一层精钢打造而成的鳞片，具有很强的防护功能。（男用）,Zhenwu War Boots,WarBoots,,WarBoots,,"The outer surface of the boots is covered with scales made of refined steel, offering strong protective function. (Male)"
3628,5,冽泉屐,此屐轻若鸿毛，穿上便可遇弱水而不沉，十分神奇。（男用）,Ice Spring Boots,,,Cold Spring Clogs,,"These clogs light as a feather; wearing them allows crossing weak waters without sinking, very magical. (For men)"
3629,5,御风履,常人若想御剑飞行则需着此履。（男用）,Wind-Walking Boots,,,Windwalkers,,Mortals need these shoes to Sword Flight. (For men)
3630,5,升龙靴,靴子上附有升龙之气，若此时施法，气势将锐不可当。（天河）,Dragon Boots,,,Rising Dragon Boots,,"Boots imbued with the energy of a rising dragon; if casting spells while wearing them, the momentum will be unstoppable. (Tianhe)"
3631,5,杜衡靴,古有仙草“杜衡”，马食则日行千里，此靴以杜衡为名，其意自现。（紫英）,Duheng Boots,,,Speed Boots,,"In ancient times, there was an immortal herb Du Heng. Horses that ate it could travel a thousand miles a day. These boots are named after Du Heng, their purpose self-evident. (Ziying)"
3632,5,望仙鞋,秦代的宫廷鞋履，据说其制法由众多方士苦思而得，穿上则具有延年益寿的功效。（男用）,Immortal's Shoes,VitalShoes,,VitalShoes,,"Court shoes from the Qin Dynasty, said to be crafted through the intense contemplation of many alchemists; wearing them is believed to prolong life. (For males)"
3633,5,龙马行天靴,瑞祥宝物，穿上此靴便可飞身于青天之上，日行万里。（天河）,Dragon Horse Sky Boots,,,Sky Dragon Boots,,"An auspicious treasure; wearing these boots allows one to soar into the blue sky, traveling ten thousand miles a day. (Tianhe)"
3634,5,王乔仙履,一双满溢灵气的靴子，传闻穿上即可白日飞升，故名。（紫英）,Wang Qiao Immortal Shoes,ShiftBoots,,ShiftBoots,,"Boots overflowing with spiritual energy; legend says wearing them allows daytime ascension, hence the name. (Ziying)"
3635,5,纤盈软靴,广受江湖女子喜爱的轻便短靴，由兽皮制成。（女用）　　　　,Slender Soft Boots,,,Soft Boots,,"Lightweight short boots popular among martial arts women, made from Beast Hide. (For women)"
3636,5,登云履,由于极其灵便耐磨，特别适合长途跋涉。（女用）　,Cloud-Treading Boots,,,Cloud Boots,,"Extremely agile and wear-resistant, especially suitable for long journeys. (For women)"
3637,5,沫雨靴,鞋底刷有桐油，故此防水功能极好。（女用）　,Rainy Boots,,,Rain Boots,,"The soles are brushed with tung oil, hence excellent waterproofing. (Female use)"
3638,5,金镂鞋,外层包裹着黄金雕刻而成的薄鞋套，精致漂亮。（女用）,Gold-Threaded Shoes,GoldShoes,,GoldShoes,,"Outer layer is a thin shoe cover made of carved gold, exquisite and beautiful. (For women)"
3639,5,青裘靴,穿上此靴，即使在极寒之地也不会觉得冷，保暖性极佳。（女用）,Green Fur Boots,,,Fur Boots,,"Wearing these boots, even in extremely cold places, one won't feel cold. Excellent warmth retention. (For females)"
3640,5,蹙金云履,以帛为鞋面，用金箔做装饰，据说对修行之人有所助益。（女用）,Crimson Cloud Tread Shoes,GildedBoots,,GildedBoots,,"Shoes with silk uppers decorated with gold foil, said to be beneficial for those cultivating their practice. (For women)"
3641,5,百绣鞋,鞋面绣有金丝祥云，凤飞凰舞，鲜活灵动，有吉祥之意。（女用）,Hundred-Embroidered Shoes,,,Embroidered Shoes,,"Shoe surface embroidered with golden auspicious clouds, phoenixes flying and dancing, vivid and lively, implying Auspicious. (For females)"
3642,5,鳞纹靴,靴子上的鳞纹反射幽芒，令人望而生寒。（女用）,Scale Pattern Boots,,,Scale Boots,,"Scale patterns on the boots reflect an eerie glow, chilling to behold. (For women)"
3643,5,凤藻靴,鞋面所绣金凤栩栩如生、振翅欲飞，穿之则遇难呈祥，能避一切邪魔。（菱纱）,Phoenix Boots,,,Phoenix Boots,,"The golden phoenix embroidered on the shoes appears lifelike, as if ready to take flight. Wearing them brings fortune in adversity, warding off all evil. (Ling Sha)"
3644,5,天霜鞋,穿上之后凉气阵阵，能调节人体经脉，助练武之人修成上乘内力。（梦璃）,Sky Frost Boots,,,Frost Boots,,"Wearing them brings a constant coolness, able to regulate the body's meridians, aiding martial artists in cultivating superior inner strength. (Mengli)"
3645,5,凌波拾翠履,貌似玉石雕刻而成的莲花，穿之立刻身轻若飞，相传可畅游天地而无阻。（女用）,Lingbo Picking Jade Shoes,,,Lingbo Shoes,,"A lotus seemingly carved from jade. Wearing it instantly makes one light as a feather, said to allow free travel between heaven and earth. (Female use)"
3646,5,雪虹鞋,即使在极北苦寒之地都可御寒，鞋上隐隐现出五色神光，如雪中彩虹。（菱纱）,Snow Rainbow Shoes,AuroraBoots,,AuroraBoots,,"Even in the bitter cold of the far north, these shoes provide warmth, with faint five-colored divine light shimmering like a rainbow in the snow. (Ling Sha)"
3647,5,赤玉履,相传为仙人留给始皇帝的仙履，缀有玛瑙和玉石装饰，华丽漂亮。（梦璃）,Red Jade Boots,RubyBoots,,RubyBoots,,"Legend says these are immortal shoes left for the First Emperor by an immortal, adorned with agate and jade, gorgeous and beautiful. (Mengli)"
3648,6,皂布腰带,粗布缝制的带子，围在腰部束系衣物。（男用）,Black Cloth Belt,,,Black Cloth Belt,,"A belt sewn from coarse cloth, worn around the waist to fasten clothing. (Male use)"
3649,6,龙纹臂环,从异域传来刻有龙纹的青铜环，雕刻得栩栩如生，仿佛便要脱环而飞。（男用）,Dragon Pattern Arm Ring,,,DragonArmRing,,"A bronze ring with dragon patterns transmitted from foreign lands, carved so vividly it seems about to fly off the ring. (Male)"
3650,6,残影护腰,金蚕丝织成的腰带，轻便又能防身，能使人脚下生风，只见人影，不见人身。（男用）,Afterimage Waist Guard,,,AfterimageWaistGuard,,"A belt woven from golden Silk, lightweight yet protective, enabling one to move with such speed that only a shadow is seen, not the body. (For males)"
3651,6,玉扳指,圆筒状的指环，可套拇指，玉质翠绿，刻有花纹。（男用）,Jade Thumb Ring,,,Jade Thumb Ring,,A cylindrical thumb ring made of green jade with carved patterns. (For men)
3652,6,翡翠鼻烟壶,古朴典雅的玉壶，为富贵人家手中的珍玩。（男用）,Jadeite Snuff Bottle,,,Jadeite Snuff Bottle,,"An antique, elegant jade pot, a treasure in the hands of the wealthy. (For men)"
3653,6,琵琶玉带钩,琵琶型的玉带钩，十分罕见，用来钩束腰带似乎太过奢侈。（男用）,Pipa Jade Belt Hook,,,Pipa Jade Belt Hook,,"Pipa-shaped jade belt hook, very rare. Using it to hook a belt seems too luxurious. (For males)"
3654,6,青铜护腕,青铜打造而成的护腕，江湖侠客常用之物。（男用）,Bronze Bracers,,,Bronze Bracers,,"A wrist guard made of bronze, commonly used by martial artists. (For men)"
3655,6,云纹束腰,绘有成片云朵的腰带，有祥云出雾之感，雅致高贵。（男用）,Cloud Pattern Waistband,,,CloudPatternWaistband,,"A belt painted with clouds, giving a sense of auspicious clouds emerging from mist, elegant and noble. (For men)"
3656,6,降龙护腕,用稀有的黑曜石制成的护腕，幽黑光亮，能让人拥有力劈华山般的神力。（男用）,Subdue Dragon Bracers,,,SubdueDragonBracers,,"Bracers made from rare Obsidian, dark and gleaming, granting the divine strength to split Mount Hua. (Male)"
3657,6,银戒指,纯银打造而成的戒指。（女用）,Silver Ring,SilverRing,,SilverRing,,Ring crafted from pure silver. (Female use)
3658,6,神秘面纱,西域女子所用的面纱，飘逸灵动，边角绘有火焰形图案。（女用）,Mysterious Veil,,,Mysterious Veil,,"Veil used by women from the Western Regions, elegant and flowing, with flame patterns at the edges. (For females)"
3659,6,玄女飞天石,一块流光异彩的圆石，上绘玄女飞天图，佩戴者能登云踏雾，行走如风。（女用）,Mystic Maiden Skyward Stone,,,Mystic Maiden Skyward Stone,,"A lustrous round stone painted with a celestial maiden soaring. Equip can tread clouds and mist, moving swift as the wind. (Female)"
3660,6,相思扣,用丝线缠绕铜钱制成的饰物，常被用来当作定情之物。（女用）,Lovers' Knot,,,Lovers' Knot,,"An ornament made by wrapping Silk Thread around a copper coin, often used as a token of love. (For women)"
3661,6,流苏香包,坠有流苏的香囊，流苏上还串有五颜六色的珠子，十分漂亮。（女用）,Tassel Sachet,,,Tassel Sachet,,"A Sachet with tassels, strung with colorful beads, very beautiful. (Female)"
3662,6,玉坠冰丝巾,冰蚕丝织成的汗巾，吊有玉坠，能令人通体舒适，精神爽朗。（女用）,Jade Pendant Ice Silk Scarf,,,Ice Silk Scarf,,"A handkerchief woven from ice Silk, with a jade pendant; brings comfort and refreshing vigor. (Female)"
3663,6,金丝香铃,精致的香铃，小巧玲珑，散发淡然的异香，是年轻女子爱用的饰物。（女用）,Golden Thread Fragrant Bell,,,Golden Thread Fragrant Bell,,"An exquisite fragrant bell, small and delicate, emitting a subtle exotic scent. A favorite accessory for young women. (Female)"
3664,6,碧玉手镯,翠绿的手镯，玉质细腻，没有一丝杂色。（女用）,Green Jade Bracelet,,,Green Jade Bracelet,,"An emerald green bracelet, jade texture fine without a trace of impurity. (For women)"
3665,6,芙蓉青玉镯,玉镯上的芙蓉雕琢地栩栩如生，仿佛有花精孕育其中。（女用）,Lotus Green Jade Bracelet,,,LotusJadeBracelet,,The hibiscus carved on the jade bracelet is so lifelike it seems as if a flower spirit is nurtured within. (For women)
3666,6,青金石指环,表面雕有万字形的青色戒指，含有一粒粒发光的金沙。,Lapis Lazuli Ring,,,Lapis Lazuli Ring,,"A green ring carved with swastika patterns, containing glowing golden sand grains."
3667,6,白玉龙凤佩,羊脂白玉雕刻成的玉佩，上绘龙凤飞舞图，玉白如凝脂一般，细腻光滑。,White Jade Dragon Phoenix,,,Dragon-Phoenix Jade,,"A jade pendant carved from Mutton-fat White Jade, depicting dragons and phoenixes in flight, white as congealed fat, smooth and fine."
3668,6,璇光指环,晶莹剔透的指环，上有一圈圈螺旋的纹路，隐约可见红色的光芒正绕着纹路流动。,Xuanguang Ring,,,Xuanguang Ring,,"A crystal-clear ring with spiral patterns, faint red light visible flowing along the grooves."
3669,6,软玉玉佩,圆形玉佩，触手温暖，是贴身携带的佳品。,Soft Jade Pendant,,,Soft Jade Pendant,,"Round jade pendant, warm to the touch, excellent for carrying close."
3670,6,寿葫芦,一个绑着红绳的葫芦，外形上并没有什么特殊，却可源源不断地涌出真气。　　,Longevity Gourd,SpiritGourd,,SpiritGourd,,"A gourd tied with a red cord, ordinary in appearance, yet endlessly emits true qi."
3671,6,乾坤正气环,一对刻有乾坤二字的手环，孕育着神奇的法力，据说佩戴上可以使河川逆流，山石倒转。,Qiankun Righteous Qi Ring,,,Chi Ring,,"A pair of bracelets engraved with the characters for 'Heaven' and 'Earth,' imbued with magical power. It is said that wearing them on Equip can make rivers flow backward and mountains turn upside down."
3672,6,明月佩,如同月亮一般散发着柔和光芒的玉佩。,Moonlight Pendant,,,Moonlight Pendant,,A jade pendant that emits a soft glow like the moon.
3673,6,五色琉璃扣,缤纷亮丽的琉璃扣，五光十色，绚丽夺目，让人如同坠入万象世界。,Five-colored Glazed Buckle,,,Color-Glazed Buckle,,"Colorful and bright glass button, dazzling and brilliant, making one feel like falling into a kaleidoscopic world."
3674,6,冰晶玉如意,如一朵冰晶透明的灵芝一般，皇家的珍宝，佩戴者能受到上天的庇佑。,Ice Crystal Jade Ruyi,,,Ice Crystal Jade Ruyi,,"Resembling a crystal-clear ice lingzhi mushroom, a royal treasure; Equip grants divine protection."
3675,6,红玉蝉,血红色的玉蝉，有薄而透明之感，雕工娴熟，是玉器中难得的珍品。,Red Jade Cicada,,,Red Jade Cicada,,"Blood-red jade cicada, thin and transparent feel, skilled carving, rare treasure among jade artifacts."
3676,6,血珀戒指,一枚晶莹透亮的琥珀戒指，可以看见里面有一条条血红色的带纹。,Blood Amber Ring,,,Blood Amber Ring,,"A crystal-clear amber ring, inside which one can see streaks of blood-red bands."
3677,6,火焰赤玉佩,通体红色透明，上有深浅不一的条纹，摸起来炙热无比，烫灼人手。,Flame Crimson Jade Pendant,,,Flame Jade Pendant,,"Entirely red and transparent, with varying depth stripes, feels extremely hot to touch, burning hands."
3678,6,黄铜臂环,黄铜所制的臂环，防护之功用并不出众。,Brass Arm Ring,,,Brass Arm Ring,,"Brass armlet, its protective function is not outstanding."
3679,6,金锁吊坠,一根细链上吊有镂空雕花的金锁，拥有宁神安心的功效。,Golden Lock Pendant,,,GoldenLockPendant,,"A fine chain with an openwork carved gold lock, said to calm and soothe the mind."
3680,6,金佛石珠,一串用金线串成的佛珠，珠上刻有佛祖像，佩戴上能够拥有强大的法力。,Golden Buddha Stone Bead,,,Golden Buddha Stone Bead,,"A string of Buddha beads threaded with gold wire, carved with Buddha images; Equip grants powerful magic."
3681,6,疾风吊牌,刻有“风”字的玉牌，能够令人有身轻如燕的感觉。,Swift Wind Tag,,,Swift Wind Tag,,"A jade plaque engraved with the character 'Wind', grants a feeling of lightness."
3682,6,墨玉戒指,乌黑透亮，雕有精致的兰花纹，连叶片上的露珠都隐约可见。,Black Jade Ring,,,Black Jade Ring,,"Jet-black and translucent, carved with exquisite orchid patterns, even dewdrops on leaves faintly visible."
3683,6,天地无极符,吸收天地精华的护身符，凝聚着山川河流的力量，隐隐有股强大的气流透出。,Heaven Earth Limitless,,,Heaven Earth Limitless,,"A talisman that absorbs the essence of heaven and earth, condensing the power of mountains and rivers, faintly emitting a powerful airflow."
3684,6,平安符,佩戴在身上，用灵气护身的符牌。,Peace Talisman,,,Peace Talisman,,"Equip worn on body, a talisman that uses spiritual energy for protection."
3685,6,阴阳五行镜,一面阴阳铜镜，正面刻有圆日，反面雕着弯月，能够调节阴阳，百病不侵。,Yin-Yang Five Elements Mirror,,,Yin-Yang Elem. Mirror,,"A yin-yang bronze mirror: front engraved with a full sun, back carved with a crescent moon, regulates yin-yang, wards off all ailments."
3686,6,两仪四象符,精致的符牌，上有两仪四象的图案，能使人受到道家无极法力的庇佑。,Two Forms Four Symbols,,,Form-Symbols Talisman,,"An exquisite talisman with yin-yang and four symbols patterns, granting protection under Daoist infinite power."
3687,6,苗银簪,虽是普通苗族银簪的式样，但却蕴藏着强大的灵力，据说是受到过女娲娘娘祝福的银器。（女用）,Miao Silver Hairpin,,,Miao Silver Hairpin,,"Though styled like an ordinary Miao silver hairpin, it holds powerful spiritual energy, said to be blessed by the goddess Nüwa. (For females)"
3688,6,玲珑珊瑚,生于东海龙宫中的珊瑚，玲珑剔透，乃是人间罕见的宝物。,Exquisite Coral,,,Exquisite Coral,,"Coral born in the East Sea Dragon Palace, exquisitely translucent, a rare treasure in the mortal realm."
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
